year_of_assessment,chargeable_income_group,resident_type,number_of_taxpayers,assessable_income,chargeable_income,net_tax_assessed
2011,"20,000 & below",Tax Resident,0,0,0,0
2011,"20,001 - 25,000",Tax Resident,216179,6812418,4858458,14975
2011,"25,001 - 30,000",Tax Resident,171214,6410750,4691532,35467
2011,"30,001 - 40,000",Tax Resident,223428,10463602,7714587,106946
2011,"40,001 - 50,000",Tax Resident,129280,7747023,5767798,133087
2011,"50,001 - 60,000",Tax Resident,83349,6014189,4558219,142074
2011,"60,001 - 70,000",Tax Resident,57599,4827373,3729528,136618
2011,"70,001 - 80,000",Tax Resident,44916,4255213,3359960,136517
2011,"80,001 - 100,000",Tax Resident,60659,6716476,5412600,267091
2011,"100,001 - 150,000",Tax Resident,75860,10910571,9191606,614425
2011,"150,001 - 200,000",Tax Resident,35333,6911183,6092283,546966
2011,"200,001 - 300,000",Tax Resident,33706,8959022,8182179,923028
2011,"300,001 - 400,000",Tax Resident,15130,5525447,5184464,682999
2011,"400,001 - 500,000",Tax Resident,7115,3321391,3160277,465337
2011,"500,001 - 1,000,000",Tax Resident,9873,6837481,6607069,1089705
2011,"1,000,001 & above",Tax Resident,3698,7274525,7180176,1347689
2011,"20,000 & below",Non-Tax Resident,16556,115176,115176,19518
2011,"20,001 - 25,000",Non-Tax Resident,1270,28309,28309,5023
2011,"25,001 - 30,000",Non-Tax Resident,964,26450,26450,4705
2011,"30,001 - 40,000",Non-Tax Resident,1320,45767,45767,8157
2011,"40,001 - 50,000",Non-Tax Resident,886,39539,39543,6979
2011,"50,001 - 60,000",Non-Tax Resident,565,31040,31040,5394
2011,"60,001 - 70,000",Non-Tax Resident,380,24494,24494,4283
2011,"70,001 - 80,000",Non-Tax Resident,300,22415,22415,3764
2011,"80,001 - 100,000",Non-Tax Resident,373,33237,33237,5604
2011,"100,001 - 150,000",Non-Tax Resident,455,54740,54740,9212
2011,"150,001 - 200,000",Non-Tax Resident,196,33745,33745,5535
2011,"200,001 - 300,000",Non-Tax Resident,144,34822,34822,5747
2011,"300,001 - 400,000",Non-Tax Resident,46,15699,15699,2527
